Pokemon Id,Pokedex Number,Pokemon Name,Game(s) of Origin,Generation,Alternate Form Name,Legendary Status,Legendary Type,Pre-Evolution Pokemon Id,Evolution Details,Level of Evolution,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Secondary Ability,Hidden Ability,Special Event Ability,Male Ratio,Female Ratio,M:F Ratio,Base Happiness,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Primary Egg Group,Secondary Egg Group,Egg Cycle Count
225,129,Magikarp,Red,1,,False,NA,,NA,,0.9,10.0,Water,NA,Swift Swim,NA,Rattled,,50.0,50.0,50.0:50.0,50,20,10,55,15,20,80,200,0,0,0,0,0,1,1,255,Slow,1250000,Water2,Dragon,5
226,130,Gyarados,Red,1,,False,NA,225.0,Leveling Up,20.0,6.5,235.0,Water,Flying,Intimidate,NA,Moxie,,50.0,50.0,50.0:50.0,50,95,125,79,60,100,81,540,0,2,0,0,0,0,2,45,Slow,1250000,Water2,Dragon,5
227,131,Lapras,Red,1,,False,NA,,NA,,2.5,220.0,Water,Ice,Water Absorb,Shell Armor,Hydration,,50.0,50.0,50.0:50.0,50,130,85,80,85,95,60,535,2,0,0,0,0,0,2,45,Slow,1250000,Monster,Water1,40
228,133,Eevee,Red,1,,False,NA,,NA,,0.3,6.5,Normal,NA,Run Away,Adaptability,Anticipation,,87.5,12.5,87.5:12.5,50,55,55,50,45,65,55,325,0,0,0,0,1,0,1,45,Medium Fast,1000000,Field,NA,35
229,134,Vaporeon,Red,1,,False,NA,228.0,Evolution stone,,1.0,29.0,Water,NA,Water Absorb,NA,Hydration,,87.5,12.5,87.5:12.5,50,130,65,60,110,95,65,525,2,0,0,0,0,0,2,45,Medium Fast,1000000,Field,NA,35
230,135,Jolteon,Red,1,,False,NA,228.0,Evolution stone,,0.8,24.5,Electric,NA,Volt Absorb,NA,Quick Feet,,87.5,12.5,87.5:12.5,50,65,65,60,110,95,130,525,0,0,0,0,0,2,2,45,Medium Fast,1000000,Field,NA,35
231,136,Flareon,Red,1,,False,NA,228.0,Evolution stone,,0.9,25.0,Fire,NA,Flash Fire,NA,Guts,,87.5,12.5,87.5:12.5,50,65,130,60,95,110,65,525,0,2,0,0,0,0,2,45,Medium Fast,1000000,Field,NA,35
232,137,Porygon,Red,1,,False,NA,,NA,,0.8,36.5,Normal,NA,Trace,Download,Analytic,,0.0,0.0,0.0:0.0,50,65,60,70,85,75,40,395,0,0,0,1,0,0,1,45,Medium Fast,1000000,Mineral,NA,20
233,138,Omanyte,Red,1,,False,NA,,NA,,0.4,7.5,Rock,Water,Swift Swim,Shell Armor,Weak Armor,,87.5,12.5,87.5:12.5,50,35,40,100,90,55,35,355,0,0,1,0,0,0,1,45,Medium Fast,1000000,Water1,Water3,30
234,139,Omastar,Red,1,,False,NA,233.0,Leveling Up,40.0,1.0,35.0,Rock,Water,Swift Swim,Shell Armor,Weak Armor,,87.5,12.5,87.5:12.5,50,70,60,125,115,70,55,495,0,0,2,0,0,0,2,45,Medium Fast,1000000,Water1,Water3,30
235,140,Kabuto,Red,1,,False,NA,,NA,,0.5,11.5,Rock,Water,Swift Swim,Battle Armor,Weak Armor,,87.5,12.5,87.5:12.5,50,30,80,90,55,45,55,355,0,0,1,0,0,0,1,45,Medium Fast,1000000,Water1,Water3,30
236,141,Kabutops,Red,1,,False,NA,235.0,Leveling Up,40.0,1.3,40.5,Rock,Water,Swift Swim,Battle Armor,Weak Armor,,87.5,12.5,87.5:12.5,50,60,115,105,65,70,80,495,0,2,0,0,0,0,2,45,Medium Fast,1000000,Water1,Water3,30
237,142,Aerodactyl,Red,1,,False,NA,,NA,,1.8,59.0,Rock,Flying,Rock Head,Pressure,Unnerve,,87.5,12.5,87.5:12.5,50,80,105,65,60,75,130,515,0,0,0,0,0,2,2,45,Slow,1250000,Flying,NA,35
238,143,Snorlax,Red,1,,False,NA,644.0,Trade or Friendship,,2.1,460.0,Normal,NA,Immunity,Thick Fat,Gluttony,,87.5,12.5,87.5:12.5,50,160,110,65,65,110,30,540,2,0,0,0,0,0,2,25,Slow,1250000,Monster,NA,40
239,144,Articuno,Red,1,,True,Sub Legendary,,NA,,1.7,55.4,Ice,Flying,Pressure,NA,Snow Cloak,,0.0,0.0,0.0:0.0,35,90,85,100,95,125,85,580,0,0,0,0,3,0,3,3,Slow,1250000,No Eggs,NA,80
240,145,Zapdos,Red,1,,True,Sub Legendary,,NA,,1.6,52.6,Electric,Flying,Pressure,NA,Static,,0.0,0.0,0.0:0.0,35,90,90,85,125,90,100,580,0,0,0,3,0,0,3,3,Slow,1250000,No Eggs,NA,80
241,146,Moltres,Red,1,,True,Sub Legendary,,NA,,2.0,60.0,Fire,Flying,Pressure,NA,Flame Body,,0.0,0.0,0.0:0.0,35,90,100,90,125,85,90,580,0,0,0,3,0,0,3,3,Slow,1250000,No Eggs,NA,80
242,147,Dratini,Red,1,,False,NA,,NA,,1.8,3.3,Dragon,NA,Shed Skin,NA,Marvel Scale,,50.0,50.0,50.0:50.0,35,41,64,45,50,50,50,300,0,1,0,0,0,0,1,45,Slow,1250000,Water1,Dragon,40
243,148,Dragonair,Red,1,,False,NA,242.0,Leveling Up,30.0,4.0,16.5,Dragon,NA,Shed Skin,NA,Marvel Scale,,50.0,50.0,50.0:50.0,35,61,84,65,70,70,70,420,0,2,0,0,0,0,2,45,Slow,1250000,Water1,Dragon,40
244,149,Dragonite,Red,1,,False,NA,243.0,Leveling Up,55.0,2.2,210.0,Dragon,Flying,Inner Focus,NA,Multiscale,,50.0,50.0,50.0:50.0,35,91,134,95,100,100,80,600,0,3,0,0,0,0,3,45,Slow,1250000,Water1,Dragon,40
245,152,Chikorita,Gold,2,,False,NA,,NA,,0.9,6.4,Grass,NA,Overgrow,NA,Leaf Guard,,87.5,12.5,87.5:12.5,50,45,49,65,49,65,45,318,0,0,0,0,1,0,1,45,Medium Slow,1059860,Monster,Grass,20
246,153,Bayleef,Gold,2,,False,NA,245.0,Leveling Up,16.0,1.2,15.8,Grass,NA,Overgrow,NA,Leaf Guard,,87.5,12.5,87.5:12.5,50,60,62,80,63,80,60,405,0,0,1,0,1,0,2,45,Medium Slow,1059860,Monster,Grass,20
247,154,Meganium,Gold,2,,False,NA,246.0,Leveling Up,32.0,1.8,100.5,Grass,NA,Overgrow,NA,Leaf Guard,,87.5,12.5,87.5:12.5,50,80,82,100,83,100,80,525,0,0,1,0,2,0,3,45,Medium Slow,1059860,Monster,Grass,20
248,155,Cyndaquil,Gold,2,,False,NA,,NA,,0.5,7.9,Fire,NA,Blaze,NA,Flash Fire,,87.5,12.5,87.5:12.5,50,39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,Medium Slow,1059860,Field,NA,20
249,156,Quilava,Gold,2,,False,NA,248.0,Leveling Up,14.0,0.9,19.0,Fire,NA,Blaze,NA,Flash Fire,,87.5,12.5,87.5:12.5,50,58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,Medium Slow,1059860,Field,NA,20
250,157,Typhlosion,Gold,2,,False,NA,249.0,Leveling Up,36.0,1.7,79.5,Fire,NA,Blaze,NA,Flash Fire,,87.5,12.5,87.5:12.5,50,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,Medium Slow,1059860,Field,NA,20
251,158,Totodile,Gold,2,,False,NA,,NA,,0.6,9.5,Water,NA,Torrent,NA,Sheer Force,,87.5,12.5,87.5:12.5,50,50,65,64,44,48,43,314,0,1,0,0,0,0,1,45,Medium Slow,1059860,Monster,Water1,20
252,159,Croconaw,Gold,2,,False,NA,251.0,Leveling Up,18.0,1.1,25.0,Water,NA,Torrent,NA,Sheer Force,,87.5,12.5,87.5:12.5,50,65,80,80,59,63,58,405,0,1,1,0,0,0,2,45,Medium Slow,1059860,Monster,Water1,20
253,160,Feraligatr,Gold,2,,False,NA,252.0,Leveling Up,30.0,2.3,88.8,Water,NA,Torrent,NA,Sheer Force,,87.5,12.5,87.5:12.5,50,85,105,100,79,83,78,530,0,2,1,0,0,0,3,45,Medium Slow,1059860,Monster,Water1,20
254,161,Sentret,Gold,2,,False,NA,,NA,,0.8,6.0,Normal,NA,Run Away,Keen Eye,Frisk,,50.0,50.0,50.0:50.0,50,35,46,34,35,45,20,215,0,1,0,0,0,0,1,255,Medium Fast,1000000,Field,NA,15
255,162,Furret,Gold,2,,False,NA,254.0,Leveling Up,15.0,1.8,32.5,Normal,NA,Run Away,Keen Eye,Frisk,,50.0,50.0,50.0:50.0,50,85,76,64,45,55,90,415,0,0,0,0,0,2,2,90,Medium Fast,1000000,Field,NA,15
256,163,Hoothoot,Gold,2,,False,NA,,NA,,0.7,21.2,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,,50.0,50.0,50.0:50.0,50,60,30,30,36,56,50,262,1,0,0,0,0,0,1,255,Medium Fast,1000000,Flying,NA,15
257,164,Noctowl,Gold,2,,False,NA,256.0,Leveling Up,20.0,1.6,40.8,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,,50.0,50.0,50.0:50.0,50,100,50,50,86,96,70,452,2,0,0,0,0,0,2,90,Medium Fast,1000000,Flying,NA,15
258,165,Ledyba,Gold,2,,False,NA,,NA,,1.0,10.8,Bug,Flying,Swarm,Early Bird,Rattled,,50.0,50.0,50.0:50.0,50,40,20,30,40,80,55,265,0,0,0,0,1,0,1,255,Fast,800000,Bug,NA,15
259,166,Ledian,Gold,2,,False,NA,258.0,Leveling Up,18.0,1.4,35.6,Bug,Flying,Swarm,Early Bird,Iron Fist,,50.0,50.0,50.0:50.0,50,55,35,50,55,110,85,390,0,0,0,0,2,0,2,90,Fast,800000,Bug,NA,15
260,167,Spinarak,Gold,2,,False,NA,,NA,,0.5,8.5,Bug,Poison,Swarm,Insomnia,Sniper,,50.0,50.0,50.0:50.0,50,40,60,40,40,40,30,250,0,1,0,0,0,0,1,255,Fast,800000,Bug,NA,15
261,168,Ariados,Gold,2,,False,NA,260.0,Leveling Up,22.0,1.1,33.5,Bug,Poison,Swarm,Insomnia,Sniper,,50.0,50.0,50.0:50.0,50,70,90,70,60,70,40,400,0,2,0,0,0,0,2,90,Fast,800000,Bug,NA,15
262,170,Chinchou,Gold,2,,False,NA,,NA,,0.5,12.0,Water,Electric,Volt Absorb,Illuminate,Water Absorb,,50.0,50.0,50.0:50.0,50,75,38,38,56,56,67,330,1,0,0,0,0,0,1,190,Slow,1250000,Water2,NA,20
263,171,Lanturn,Gold,2,,False,NA,262.0,Leveling Up,27.0,1.2,22.5,Water,Electric,Volt Absorb,Illuminate,Water Absorb,,50.0,50.0,50.0:50.0,50,125,58,58,76,76,67,460,2,0,0,0,0,0,2,75,Slow,1250000,Water2,NA,20
264,175,Togepi,Gold,2,,False,NA,,NA,,0.3,1.5,Fairy,NA,Hustle,Serene Grace,Super Luck,,87.5,12.5,87.5:12.5,50,35,20,65,40,65,20,245,0,0,0,0,1,0,1,190,Fast,800000,No Eggs,NA,10
265,176,Togetic,Gold,2,,False,NA,264.0,Trade or Friendship,,0.6,3.2,Fairy,Flying,Hustle,Serene Grace,Super Luck,,87.5,12.5,87.5:12.5,50,55,40,85,80,105,40,405,0,0,0,0,2,0,2,75,Fast,800000,Flying,Fairy,10
266,177,Natu,Gold,2,,False,NA,,NA,,0.2,2.0,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,,50.0,50.0,50.0:50.0,50,40,50,45,70,45,70,320,0,0,0,1,0,0,1,190,Medium Fast,1000000,Flying,NA,20
267,178,Xatu,Gold,2,,False,NA,266.0,Leveling Up,25.0,1.5,15.0,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,,50.0,50.0,50.0:50.0,50,65,75,70,95,70,95,470,0,0,0,1,0,1,2,75,Medium Fast,1000000,Flying,NA,20
278,179,Mareep,Gold,2,,False,NA,,NA,,0.6,7.8,Electric,NA,Static,NA,Plus,,50.0,50.0,50.0:50.0,50,55,40,40,65,45,35,280,0,0,0,1,0,0,1,235,Medium Slow,1059860,Monster,Field,20
279,180,Flaaffy,Gold,2,,False,NA,278.0,Leveling Up,15.0,0.8,13.3,Electric,NA,Static,NA,Plus,,50.0,50.0,50.0:50.0,50,70,55,55,80,60,45,365,0,0,0,2,0,0,2,120,Medium Slow,1059860,Monster,Field,20
280,181,Ampharos,Gold,2,,False,NA,279.0,Leveling Up,30.0,1.4,61.5,Electric,NA,Static,NA,Plus,,50.0,50.0,50.0:50.0,50,90,75,85,115,90,55,510,0,0,0,3,0,0,3,45,Medium Slow,1059860,Monster,Field,20
283,183,Marill,Gold,2,,False,NA,426.0,Trade or Friendship,,0.4,8.5,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,,50.0,50.0,50.0:50.0,50,70,20,50,20,50,40,250,2,0,0,0,0,0,2,190,Fast,800000,Water1,Fairy,10
284,184,Azumarill,Gold,2,,False,NA,283.0,Leveling Up,18.0,0.8,28.5,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,,50.0,50.0,50.0:50.0,50,100,50,80,60,80,50,420,3,0,0,0,0,0,3,75,Fast,800000,Water1,Fairy,10
285,185,Sudowoodo,Gold,2,,False,NA,636.0,NA,,1.2,38.0,Rock,NA,Sturdy,Rock Head,Rattled,,50.0,50.0,50.0:50.0,50,70,110,115,30,65,30,420,0,0,2,0,0,0,2,65,Medium Fast,1000000,Mineral,NA,20
286,186,Politoed,Gold,2,,False,NA,982.0,NA,,1.1,33.9,Water,NA,Water Absorb,Damp,Drizzle,,50.0,50.0,50.0:50.0,50,90,75,75,90,100,70,500,0,0,0,0,3,0,3,45,Medium Slow,1059860,Water1,NA,20
287,187,Hoppip,Gold,2,,False,NA,,NA,,0.4,0.5,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,,50.0,50.0,50.0:50.0,50,35,35,40,35,55,50,250,0,0,0,0,1,0,1,255,Medium Slow,1059860,Fairy,Grass,20
288,188,Skiploom,Gold,2,,False,NA,287.0,Leveling Up,18.0,0.6,1.0,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,,50.0,50.0,50.0:50.0,50,55,45,50,45,65,80,340,0,0,0,0,0,2,2,120,Medium Slow,1059860,Fairy,Grass,20
289,189,Jumpluff,Gold,2,,False,NA,288.0,Leveling Up,27.0,0.8,3.0,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,,50.0,50.0,50.0:50.0,50,75,55,70,55,95,110,460,0,0,0,0,0,3,3,45,Medium Slow,1059860,Fairy,Grass,20
290,190,Aipom,Gold,2,,False,NA,,NA,,0.8,11.5,Normal,NA,Run Away,Pickup,Skill Link,,50.0,50.0,50.0:50.0,50,55,70,55,40,55,85,360,0,0,0,0,0,1,1,45,Fast,800000,Field,NA,20
291,191,Sunkern,Gold,2,,False,NA,,NA,,0.3,1.8,Grass,NA,Chlorophyll,Solar Power,Early Bird,,50.0,50.0,50.0:50.0,50,30,30,30,30,30,30,180,0,0,0,1,0,0,1,235,Medium Slow,1059860,Grass,NA,20
292,192,Sunflora,Gold,2,,False,NA,291.0,Evolution stone,,0.8,8.5,Grass,NA,Chlorophyll,Solar Power,Early Bird,,50.0,50.0,50.0:50.0,50,75,75,55,105,85,30,425,0,0,0,2,0,0,2,120,Medium Slow,1059860,Grass,NA,20
293,193,Yanma,Gold,2,,False,NA,,NA,,1.2,38.0,Bug,Flying,Speed Boost,Compound Eyes,Frisk,,50.0,50.0,50.0:50.0,50,65,65,45,75,45,95,390,0,0,0,0,0,1,1,75,Medium Fast,1000000,Bug,NA,20
294,194,Wooper,Gold,2,,False,NA,,NA,,0.4,8.5,Water,Ground,Damp,Water Absorb,Unaware,,50.0,50.0,50.0:50.0,50,55,45,45,25,25,15,210,1,0,0,0,0,0,1,255,Medium Fast,1000000,Water1,Field,20
295,195,Quagsire,Gold,2,,False,NA,294.0,Leveling Up,20.0,1.4,75.0,Water,Ground,Damp,Water Absorb,Unaware,,50.0,50.0,50.0:50.0,50,95,85,85,65,65,35,430,2,0,0,0,0,0,2,90,Medium Fast,1000000,Water1,Field,20
296,196,Espeon,Gold,2,,False,NA,228.0,NA,,0.9,26.5,Psychic,NA,Synchronize,NA,Magic Bounce,,87.5,12.5,87.5:12.5,50,65,65,60,130,95,110,525,0,0,0,2,0,0,2,45,Medium Fast,1000000,Field,NA,35
297,197,Umbreon,Gold,2,,False,NA,228.0,NA,,1.0,27.0,Dark,NA,Synchronize,NA,Inner Focus,,87.5,12.5,87.5:12.5,35,95,65,110,60,130,65,525,0,0,0,0,2,0,2,45,Medium Fast,1000000,Field,NA,35
298,198,Murkrow,Gold,2,,False,NA,,NA,,0.5,2.1,Dark,Flying,Insomnia,Super Luck,Prankster,,50.0,50.0,50.0:50.0,35,60,85,42,85,42,91,405,0,0,0,0,0,1,1,30,Medium Slow,1059860,Flying,NA,20
299,199,Slowking,Gold,2,,False,NA,1319.0,NA,,2.0,79.5,Water,Psychic,Oblivious,Own Tempo,Regenerator,,50.0,50.0,50.0:50.0,50,95,75,80,100,110,30,490,0,0,0,0,3,0,3,70,Medium Fast,1000000,Monster,Water1,20
324,200,Misdreavus,Gold,2,,False,NA,,NA,,0.7,1.0,Ghost,NA,Levitate,NA,NA,,50.0,50.0,50.0:50.0,35,60,60,60,85,85,85,435,0,0,0,0,1,0,1,45,Fast,800000,Amorphous,NA,25
325,201,Unown,Gold,2,,False,NA,,NA,,0.5,5.0,Psychic,NA,Levitate,NA,NA,,0.0,0.0,0.0:0.0,50,48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,Medium Fast,1000000,No Eggs,NA,40
326,202,Wobbuffet,Gold,2,,False,NA,488.0,Leveling Up,15.0,1.3,28.5,Psychic,NA,Shadow Tag,NA,Telepathy,,50.0,50.0,50.0:50.0,50,190,33,58,33,58,33,405,2,0,0,0,0,0,2,45,Medium Fast,1000000,Amorphous,NA,20
327,203,Girafarig,Gold,2,,False,NA,,NA,,1.5,41.5,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,,50.0,50.0,50.0:50.0,50,70,80,65,90,65,85,455,0,0,0,2,0,0,2,60,Medium Fast,1000000,Field,NA,20
328,204,Pineco,Gold,2,,False,NA,,NA,,0.6,7.2,Bug,NA,Sturdy,NA,Overcoat,,50.0,50.0,50.0:50.0,50,50,65,90,35,35,15,290,0,0,1,0,0,0,1,190,Medium Fast,1000000,Bug,NA,20
329,205,Forretress,Gold,2,,False,NA,328.0,Leveling Up,31.0,1.2,125.8,Bug,Steel,Sturdy,NA,Overcoat,,50.0,50.0,50.0:50.0,50,75,90,140,60,60,40,465,0,0,2,0,0,0,2,75,Medium Fast,1000000,Bug,NA,20
330,206,Dunsparce,Gold,2,,False,NA,,NA,,1.5,14.0,Normal,NA,Serene Grace,Run Away,Rattled,,50.0,50.0,50.0:50.0,50,100,70,70,65,65,45,415,1,0,0,0,0,0,1,190,Medium Fast,1000000,Field,NA,20
331,207,Gligar,Gold,2,,False,NA,,NA,,1.1,64.8,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,,50.0,50.0,50.0:50.0,50,65,75,105,35,65,85,430,0,0,1,0,0,0,1,60,Medium Slow,1059860,Bug,NA,20
332,208,Steelix,Gold,2,,False,NA,1354.0,NA,,9.2,400.0,Steel,Ground,Rock Head,Sturdy,Sheer Force,,50.0,50.0,50.0:50.0,50,75,85,200,55,65,30,510,0,0,2,0,0,0,2,25,Medium Fast,1000000,Mineral,NA,25
333,209,Snubbull,Gold,2,,False,NA,,NA,,0.6,7.8,Fairy,NA,Intimidate,Run Away,Rattled,,25.0,75.0,25.0:75.0,50,60,80,50,40,40,30,300,0,1,0,0,0,0,1,190,Fast,800000,Field,Fairy,20
334,210,Granbull,Gold,2,,False,NA,333.0,Leveling Up,23.0,1.4,48.7,Fairy,NA,Intimidate,Quick Feet,Rattled,,25.0,75.0,25.0:75.0,50,90,120,75,60,60,45,450,0,2,0,0,0,0,2,75,Fast,800000,Field,Fairy,20
335,211,Qwilfish,Gold,2,,False,NA,,NA,,0.5,3.9,Water,Poison,Poison Point,Swift Swim,Intimidate,,50.0,50.0,50.0:50.0,50,65,95,85,55,55,85,440,0,1,0,0,0,0,1,45,Medium Fast,1000000,Water2,NA,20
336,212,Scizor,Gold,2,,False,NA,219.0,NA,,1.8,118.0,Bug,Steel,Swarm,Technician,Light Metal,,50.0,50.0,50.0:50.0,50,70,130,100,55,80,65,500,0,2,0,0,0,0,2,25,Medium Fast,1000000,Bug,NA,25
337,213,Shuckle,Gold,2,,False,NA,,NA,,0.6,20.5,Bug,Rock,Sturdy,Gluttony,Contrary,,50.0,50.0,50.0:50.0,50,20,10,230,10,230,5,505,0,0,1,0,1,0,2,190,Medium Slow,1059860,Bug,NA,20
338,214,Heracross,Gold,2,,False,NA,,NA,,1.5,54.0,Bug,Fighting,Swarm,Guts,Moxie,,50.0,50.0,50.0:50.0,50,80,125,75,40,95,85,500,0,2,0,0,0,0,2,45,Slow,1250000,Bug,NA,25
339,215,Sneasel,Gold,2,,False,NA,,NA,,0.9,28.0,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,,50.0,50.0,50.0:50.0,35,55,95,55,35,75,115,430,0,0,0,0,0,1,1,60,Medium Slow,1059860,Field,NA,20
340,216,Teddiursa,Gold,2,,False,NA,,NA,,0.6,8.8,Normal,NA,Pickup,Quick Feet,Honey Gather,,50.0,50.0,50.0:50.0,50,60,80,50,50,50,40,330,0,1,0,0,0,0,1,120,Medium Fast,1000000,Field,NA,20
341,217,Ursaring,Gold,2,,False,NA,340.0,Leveling Up,30.0,1.8,125.8,Normal,NA,Guts,Quick Feet,Unnerve,,50.0,50.0,50.0:50.0,50,90,130,75,75,75,55,500,0,2,0,0,0,0,2,60,Medium Fast,1000000,Field,NA,20
342,218,Slugma,Gold,2,,False,NA,,NA,,0.7,35.0,Fire,NA,Magma Armor,Flame Body,Weak Armor,,50.0,50.0,50.0:50.0,50,40,40,40,70,40,20,250,0,0,0,1,0,0,1,190,Medium Fast,1000000,Amorphous,NA,20
343,219,Magcargo,Gold,2,,False,NA,342.0,Leveling Up,38.0,0.8,55.0,Fire,Rock,Magma Armor,Flame Body,Weak Armor,,50.0,50.0,50.0:50.0,50,60,50,120,90,80,30,430,0,0,2,0,0,0,2,75,Medium Fast,1000000,Amorphous,NA,20
344,220,Swinub,Gold,2,,False,NA,,NA,,0.4,6.5,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,,50.0,50.0,50.0:50.0,50,50,50,40,30,30,50,250,0,1,0,0,0,0,1,225,Slow,1250000,Field,NA,20
345,221,Piloswine,Gold,2,,False,NA,344.0,Leveling Up,33.0,1.1,55.8,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,,50.0,50.0,50.0:50.0,50,100,100,80,60,60,50,450,1,1,0,0,0,0,2,75,Slow,1250000,Field,NA,20
346,222,Corsola,Gold,2,,False,NA,,NA,,0.6,5.0,Water,Rock,Hustle,Natural Cure,Regenerator,,25.0,75.0,25.0:75.0,50,65,55,95,65,95,35,410,0,0,1,0,1,0,2,60,Fast,800000,Water1,Water3,20
347,223,Remoraid,Gold,2,,False,NA,,NA,,0.6,12.0,Water,NA,Hustle,Sniper,Moody,,50.0,50.0,50.0:50.0,50,35,65,35,65,35,65,300,0,0,0,1,0,0,1,190,Medium Fast,1000000,Water1,Water2,20
348,224,Octillery,Gold,2,,False,NA,347.0,Leveling Up,25.0,0.9,28.5,Water,NA,Suction Cups,Sniper,Moody,,50.0,50.0,50.0:50.0,50,75,105,75,105,75,45,480,0,1,0,1,0,0,2,75,Medium Fast,1000000,Water1,Water2,20
349,225,Delibird,Gold,2,,False,NA,,NA,,0.9,16.0,Ice,Flying,Vital Spirit,NA,Insomnia,,50.0,50.0,50.0:50.0,50,45,55,45,65,45,75,330,0,0,0,0,0,1,1,45,Fast,800000,Water1,Field,20
350,226,Mantine,Gold,2,,False,NA,656.0,NA,,2.1,220.0,Water,Flying,Swift Swim,Water Absorb,Water Veil,,50.0,50.0,50.0:50.0,50,85,40,70,80,140,70,485,0,0,0,0,2,0,2,25,Slow,1250000,Water1,NA,25
351,227,Skarmory,Gold,2,,False,NA,,NA,,1.7,50.5,Steel,Flying,Keen Eye,Sturdy,Weak Armor,,50.0,50.0,50.0:50.0,50,65,80,140,40,70,70,465,0,0,2,0,0,0,2,25,Slow,1250000,Flying,NA,25
352,228,Houndour,Gold,2,,False,NA,,NA,,0.6,10.8,Dark,Fire,Early Bird,Flash Fire,Unnerve,,50.0,50.0,50.0:50.0,35,45,60,30,80,50,65,330,0,0,0,1,0,0,1,120,Slow,1250000,Field,NA,20
353,229,Houndoom,Gold,2,,False,NA,352.0,Leveling Up,24.0,1.4,35.0,Dark,Fire,Early Bird,Flash Fire,Unnerve,,50.0,50.0,50.0:50.0,35,75,90,50,110,80,95,500,0,0,0,2,0,0,2,45,Slow,1250000,Field,NA,20
354,230,Kingdra,Gold,2,,False,NA,213.0,NA,,1.8,152.0,Water,Dragon,Swift Swim,Sniper,Damp,,50.0,50.0,50.0:50.0,50,75,95,95,95,95,85,540,0,1,0,1,1,0,3,45,Medium Fast,1000000,Water1,Dragon,20
355,231,Phanpy,Gold,2,,False,NA,,NA,,0.5,33.5,Ground,NA,Pickup,NA,Sand Veil,,50.0,50.0,50.0:50.0,50,90,60,60,40,40,40,330,1,0,0,0,0,0,1,120,Medium Fast,1000000,Field,NA,20
356,232,Donphan,Gold,2,,False,NA,355.0,Leveling Up,25.0,1.1,120.0,Ground,NA,Sturdy,NA,Sand Veil,,50.0,50.0,50.0:50.0,50,90,120,120,60,60,50,500,0,1,1,0,0,0,2,60,Medium Fast,1000000,Field,NA,20
357,233,Porygon2,Gold,2,,False,NA,232.0,NA,,0.6,32.5,Normal,NA,Trace,Download,Analytic,,0.0,0.0,0.0:0.0,50,85,80,90,105,95,60,515,0,0,0,2,0,0,2,45,Medium Fast,1000000,Mineral,NA,20
358,234,Stantler,Gold,2,,False,NA,,NA,,1.4,71.2,Normal,NA,Intimidate,Frisk,Sap Sipper,,50.0,50.0,50.0:50.0,50,73,95,62,85,65,85,465,0,1,0,0,0,0,1,45,Slow,1250000,Field,NA,20
359,235,Smeargle,Gold,2,,False,NA,,NA,,1.2,58.0,Normal,NA,Own Tempo,Technician,Moody,,50.0,50.0,50.0:50.0,50,55,20,35,20,45,75,250,0,0,0,0,0,1,1,45,Fast,800000,Field,NA,20
360,236,Tyrogue,Gold,2,,False,NA,,NA,,0.7,21.0,Fighting,NA,Guts,Steadfast,Vital Spirit,,100.0,0.0,100.0:0.0,50,35,35,35,35,35,35,210,0,1,0,0,0,0,1,75,Medium Fast,1000000,No Eggs,NA,25
361,237,Hitmontop,Gold,2,,False,NA,360.0,Leveling Up,,1.4,48.0,Fighting,NA,Intimidate,Technician,Steadfast,,100.0,0.0,100.0:0.0,50,50,95,95,35,110,70,455,0,0,0,0,2,0,2,45,Medium Fast,1000000,Human Like,NA,25
362,238,Smoochum,Gold,2,,False,NA,,NA,,0.4,6.0,Ice,Psychic,Oblivious,Forewarn,Hydration,,0.0,100.0,0.0:100.0,50,45,30,15,85,65,65,305,0,0,0,1,0,0,1,45,Medium Fast,1000000,No Eggs,NA,25
363,239,Elekid,Gold,2,,False,NA,,NA,,0.6,23.5,Electric,NA,Static,NA,Vital Spirit,,75.0,25.0,75.0:25.0,50,45,63,37,65,55,95,360,0,0,0,0,0,1,1,45,Medium Fast,1000000,No Eggs,NA,25
