District,Candidate 1,Party 1,Votes 1,Percent 1,Winner 1,Incumbent 1,Flipped,Candidate 2,Party 2,Votes 2,Percent 2,Winner 2,Incumbent 2
NC 11,Edwards,R,245546,56.77,TRUE,TRUE,FALSE,Rudow,D,186977,43.23,FALSE,FALSE
NC 12,Adams,D,259627,74.02,TRUE,TRUE,FALSE,Ali,R,91128,25.98,FALSE,FALSE
NC 13,Knott,R,243655,58.64,TRUE,FALSE,FALSE,Pierce,D,171835,41.36,FALSE,FALSE
NC 14,Moore,R,232987,58.06,TRUE,FALSE,FALSE,Genant,D,168269,41.94,FALSE,FALSE
ND 01,Fedorchak,R,249101,69.52,TRUE,FALSE,FALSE,Hammer,D,109231,30.48,FALSE,FALSE
NE 01,Flood,R,187559,60.1,TRUE,TRUE,FALSE,Blood,D,124498,39.9,FALSE,FALSE
NE 02,Bacon,R,160198,50.93,TRUE,TRUE,FALSE,Vargas,D,154369,49.07,FALSE,FALSE
NE 03,Smith,R,243481,80.42,TRUE,TRUE,FALSE,Ebers,D,59287,19.58,FALSE,FALSE
NH 01,Pappas,D,218577,54.03,TRUE,TRUE,FALSE,Prescott,R,185936,45.97,FALSE,FALSE
NH 02,Goodlander,D,211641,52.98,TRUE,FALSE,FALSE,Tang Williams,R,187810,47.02,FALSE,FALSE
NJ 01,Norcross,D,208808,57.83,TRUE,TRUE,FALSE,Liddell,R,144390,39.99,FALSE,FALSE
NJ 02,Van Drew,R,215946,58.11,TRUE,TRUE,FALSE,Salerno,D,153117,41.2,FALSE,FALSE
NJ 03,Conaway,D,202034,53.24,TRUE,FALSE,FALSE,Mohan,R,169454,44.65,FALSE,FALSE
NJ 04,Smith,R,265652,67.39,TRUE,TRUE,FALSE,Jenkins,D,124803,31.66,FALSE,FALSE
NJ 05,Gottheimer,D,208359,54.56,TRUE,TRUE,FALSE,Guinchard,R,165287,43.28,FALSE,FALSE
NJ 06,Pallone,D,170275,56.07,TRUE,TRUE,FALSE,Fegler,R,122519,40.34,FALSE,FALSE
NJ 07,Kean Jr.,R,223331,51.77,TRUE,TRUE,FALSE,Altman,D,200025,46.37,FALSE,FALSE
NJ 08,Menendez,D,116434,59.17,TRUE,TRUE,FALSE,Valdes,R,68152,34.64,FALSE,FALSE
NJ 09,Pou,D,130514,50.78,TRUE,FALSE,FALSE,Prempeh,R,117939,45.89,FALSE,FALSE
NJ 10,McIver,D,182020,74.42,TRUE,TRUE,FALSE,Bucco,R,54405,22.24,FALSE,FALSE
NJ 11,Sherrill,D,222583,56.53,TRUE,TRUE,FALSE,Belnome,R,164556,41.79,FALSE,FALSE
NJ 12,Watson Coleman,D,196871,61.2,TRUE,TRUE,FALSE,Mayfield,R,117222,36.44,FALSE,FALSE
NM 01,Stansbury,D,193203,56.37,TRUE,TRUE,FALSE,Jones,R,149546,43.63,FALSE,FALSE
NM 02,Vasquez,D,138177,52.08,TRUE,TRUE,FALSE,Herrell,R,127145,47.92,FALSE,FALSE
NM 03,Leger Fernandez,D,162342,56.29,TRUE,TRUE,FALSE,Clahchischilliage,R,126085,43.71,FALSE,FALSE
NV 01,Titus,D,167885,51.99,TRUE,TRUE,FALSE,Robertson,R,143650,44.49,FALSE,FALSE
NV 02,Amodei,R,219919,55.04,TRUE,TRUE,FALSE,Kidd,NF,144064,36.05,FALSE,FALSE
NV 03,Lee,D,191304,51.37,TRUE,TRUE,FALSE,Johnson,R,181084,48.63,FALSE,FALSE
NV 04,Horsford,D,174926,52.66,TRUE,TRUE,FALSE,Lee,R,148061,44.57,FALSE,FALSE
NY 01,LaLota,R,226285,55.22,TRUE,TRUE,FALSE,Avlon,D,183540,44.78,FALSE,FALSE
NY 02,Garbarino,R,202597,59.77,TRUE,TRUE,FALSE,Lubin,D,136371,40.23,FALSE,FALSE
NY 03,Suozzi,D,187651,51.79,TRUE,TRUE,FALSE,LiPetri,R,174693,48.21,FALSE,FALSE
NY 04,Gillen,D,191760,51.15,TRUE,FALSE,FALSE,D'Esposito,R,183157,48.85,FALSE,TRUE
NY 05,Meeks,D,168425,72.93,TRUE,TRUE,FALSE,King,R,62529,27.07,FALSE,FALSE
NY 06,Meng,D,120205,60.7,TRUE,TRUE,FALSE,Zmich,R,74559,37.65,FALSE,FALSE
NY 07,Velazquez,D,172795,78.11,TRUE,TRUE,FALSE,Kregler,R,48435,21.89,FALSE,FALSE
NY 08,Jeffries,D,168036,75.39,TRUE,TRUE,FALSE,Delaney,R,54863,24.61,FALSE,FALSE
NY 09,Clarke,D,173207,74.25,TRUE,TRUE,FALSE,Raitport,R,60064,25.75,FALSE,FALSE
NY 10,Goldman,D,206206,82.32,TRUE,TRUE,FALSE,Dodenhoff,R,37555,14.99,FALSE,FALSE
NY 11,Malliotakis,R,167099,64.1,TRUE,TRUE,FALSE,Morse,D,93586,35.9,FALSE,FALSE
NY 12,Nadler,D,260165,80.51,TRUE,TRUE,FALSE,Zumbluskas,R,62989,19.49,FALSE,FALSE
NY 13,Espaillat,D,181800,83.54,TRUE,TRUE,FALSE,Vargas,R,35822,16.46,FALSE,FALSE
NY 14,Ocasio-Cortez,D,132714,69.2,TRUE,TRUE,FALSE,Forte,R,59078,30.8,FALSE,FALSE
NY 15,Torres,D,130392,76.48,TRUE,TRUE,FALSE,Duran,R,36010,21.12,FALSE,FALSE
NY 16,Latimer,D,217668,71.58,TRUE,FALSE,FALSE,Flisser,R,86408,28.42,FALSE,FALSE
NY 17,Lawler,R,197845,52.16,TRUE,TRUE,FALSE,Jones,D,173899,45.85,FALSE,FALSE
NY 18,Ryan,D,207106,57.17,TRUE,TRUE,FALSE,Esposito,R,155129,42.83,FALSE,FALSE
NY 19,Riley,D,192647,51.11,TRUE,FALSE,FALSE,Molinaro,R,184290,48.89,FALSE,TRUE
NY 20,Tonko,D,221997,61.13,TRUE,TRUE,FALSE,Waltz,R,141151,38.87,FALSE,FALSE
NY 21,Stefanik,R,215996,61.99,TRUE,TRUE,FALSE,Collins,D,132447,38.01,FALSE,FALSE
NY 22,Mannion,D,194450,54.56,TRUE,FALSE,FALSE,Williams,R,161939,45.44,FALSE,TRUE
NY 23,Langworthy,R,246969,65.79,TRUE,TRUE,FALSE,Carle,D,128397,34.21,FALSE,FALSE
NY 24,Tenney,R,235867,65.67,TRUE,TRUE,FALSE,Wagenhauser,D,123317,34.33,FALSE,FALSE
NY 25,Morelle,D,219175,60.82,TRUE,TRUE,FALSE,Sadwick,R,141195,39.18,FALSE,FALSE
NY 26,Kennedy,D,209131,65.17,TRUE,TRUE,FALSE,Marecki,R,111772,34.83,FALSE,FALSE
OH 01,Landsman,D,213916,54.58,TRUE,TRUE,FALSE,Sonza,R,177993,45.42,FALSE,FALSE
OH 02,Taylor,R,268211,73.56,TRUE,FALSE,FALSE,Meadows,D,96401,26.44,FALSE,FALSE
OH 03,Beatty,D,242632,70.74,TRUE,TRUE,FALSE,Young,R,100355,29.26,FALSE,FALSE
OH 04,Jordan,R,273297,68.46,TRUE,TRUE,FALSE,Wilson,D,125905,31.54,FALSE,FALSE
OH 05,Latta,R,255633,67.51,TRUE,TRUE,FALSE,Mundy,D,123024,32.49,FALSE,FALSE
OH 06,Rulli,R,245860,66.74,TRUE,TRUE,FALSE,Kripchak,D,122515,33.26,FALSE,FALSE
OH 07,Miller,R,204494,51.08,TRUE,TRUE,FALSE,Diemer,D,144613,36.12,FALSE,FALSE
OH 08,Davidson,R,237503,62.81,TRUE,TRUE,FALSE,Enoch,D,140625,37.19,FALSE,FALSE
OH 09,Kaptur,D,181098,48.27,TRUE,TRUE,FALSE,Merrin,R,178716,47.63,FALSE,FALSE
OH 10,Turner,R,213695,57.64,TRUE,TRUE,FALSE,Cox,D,145420,39.22,FALSE,FALSE
OH 11,Brown,D,236883,78.34,TRUE,TRUE,FALSE,Rapoport,R,59394,19.64,FALSE,FALSE
OH 12,Balderson,R,260450,68.51,TRUE,TRUE,FALSE,Christian,D,119738,31.49,FALSE,FALSE
OH 13,Sykes,D,197466,51.11,TRUE,TRUE,FALSE,Coughlin,R,188924,48.89,FALSE,FALSE
OH 14,Joyce,R,243427,63.42,TRUE,TRUE,FALSE,Kenderes,D,140431,36.58,FALSE,FALSE
OH 15,Carey,R,196338,56.46,TRUE,TRUE,FALSE,Miller,D,151411,43.54,FALSE,FALSE
OK 01,Hern,R,188832,60.43,TRUE,TRUE,FALSE,Baker,D,107903,34.53,FALSE,FALSE
OK 02,Brecheen,R,238123,74.18,TRUE,TRUE,FALSE,Wade,D,68841,21.44,FALSE,FALSE
OK 03,Lucas,R,0,100,TRUE,TRUE,FALSE,,,,,,
OK 04,Cole,R,199962,65.25,TRUE,TRUE,FALSE,Brannon,D,86641,28.27,FALSE,FALSE
OK 05,Bice,R,207636,60.69,TRUE,TRUE,FALSE,Horn,D,134471,39.31,FALSE,FALSE
OR 01,Bonamici,D,241556,68.76,TRUE,TRUE,FALSE,Todd,R,98908,28.15,FALSE,FALSE
OR 02,Bentz,R,224601,63.95,TRUE,TRUE,FALSE,Ruby,D,115337,32.84,FALSE,FALSE
OR 03,Dexter,D,226405,67.88,TRUE,FALSE,FALSE,Harbour,R,84344,25.29,FALSE,FALSE
OR 04,Hoyle,D,195862,51.77,TRUE,TRUE,FALSE,DeSpain,R,166430,43.99,FALSE,FALSE
OR 05,Bynum,D,191365,47.75,TRUE,FALSE,FALSE,Chavez-DeRemer,R,180420,45.02,FALSE,TRUE
OR 06,Salinas,D,180869,53.43,TRUE,TRUE,FALSE,Erickson,R,157634,46.57,FALSE,FALSE
PA 01,Fitzpatrick,R,261390,56.4,TRUE,TRUE,FALSE,Ehasz,D,202042,43.6,FALSE,FALSE
PA 02,Boyle,D,193691,71.46,TRUE,TRUE,FALSE,Bashir,R,77355,28.54,FALSE,FALSE
PA 03,Evans,D,340223,100,TRUE,TRUE,FALSE,,,,,,
PA 04,Dean,D,269066,59.07,TRUE,TRUE,FALSE,Winkler,R,186457,40.93,FALSE,FALSE
PA 05,Scanlon,D,267754,65.29,TRUE,TRUE,FALSE,Goodwin,R,142355,34.71,FALSE,FALSE
PA 06,Houlahan,D,235625,56.2,TRUE,TRUE,FALSE,Young,R,183638,43.8,FALSE,FALSE
PA 07,Mackenzie,R,203688,50.5,TRUE,FALSE,FALSE,Wild,D,199626,49.5,FALSE,TRUE
PA 08,Bresnahan,R,195663,50.81,TRUE,FALSE,FALSE,Cartwright,D,189411,49.19,FALSE,TRUE
PA 09,Meuser,R,276212,70.51,TRUE,TRUE,FALSE,Waldman,D,115523,29.49,FALSE,FALSE
PA 10,Perry,R,205567,50.63,TRUE,TRUE,FALSE,Stelson,D,200434,49.37,FALSE,FALSE
PA 11,Smucker,R,253672,62.9,TRUE,TRUE,FALSE,Atkinson,D,149641,37.1,FALSE,FALSE
PA 12,Lee,D,234802,56.41,TRUE,TRUE,FALSE,Hayes,R,181426,43.59,FALSE,FALSE
PA 13,Joyce,R,301460,74.2,TRUE,TRUE,FALSE,Farnham,D,104823,25.8,FALSE,FALSE
PA 14,Reschenthaler,R,268380,66.57,TRUE,TRUE,FALSE,Dziados,D,134755,33.43,FALSE,FALSE
PA 15,Thompson,R,279027,71.47,TRUE,TRUE,FALSE,Womer,D,111408,28.53,FALSE,FALSE
PA 16,Kelly,R,256923,63.65,TRUE,TRUE,FALSE,Nouri,D,146709,36.35,FALSE,FALSE
PA 17,Deluzio,D,242838,53.88,TRUE,TRUE,FALSE,Mercuri,R,207900,46.12,FALSE,FALSE
RI 01,Amo,D,139352,63.18,TRUE,TRUE,FALSE,Waters,R,70742,32.07,FALSE,FALSE
RI 02,Magaziner,D,153439,58.38,TRUE,TRUE,FALSE,Corvi,R,109381,41.62,FALSE,FALSE
SC 01,Mace,R,227502,58.32,TRUE,TRUE,FALSE,Moore,D,162582,41.68,FALSE,FALSE
SC 02,Wilson,R,211514,59.67,TRUE,TRUE,FALSE,Robinson,D,142985,40.33,FALSE,FALSE
SC 03,Biggs,R,248451,71.79,TRUE,FALSE,FALSE,Best,D,87735,25.35,FALSE,FALSE
SC 04,Timmons,R,206916,59.86,TRUE,TRUE,FALSE,Harvey,D,128976,37.31,FALSE,FALSE
SC 05,Norman,R,228260,63.61,TRUE,TRUE,FALSE,Hundley,D,130592,36.39,FALSE,FALSE
SC 06,Clyburn,D,182056,59.56,TRUE,TRUE,FALSE,Buckner,R,112360,36.76,FALSE,FALSE
SC 07,Fry,R,240326,64.98,TRUE,TRUE,FALSE,Hyman,D,129522,35.02,FALSE,FALSE
SD 01,Johnson,R,303630,72.04,TRUE,TRUE,FALSE,Johnson,D,117818,27.96,FALSE,FALSE
TN 01,Harshbarger,R,257825,78.08,TRUE,TRUE,FALSE,Jenkins,D,64021,19.39,FALSE,FALSE
TN 02,Burchett,R,250782,69.26,TRUE,TRUE,FALSE,George,D,111316,30.74,FALSE,FALSE
TN 03,Fleischmann,R,236519,67.51,TRUE,TRUE,FALSE,Allen,D,102841,29.36,FALSE,FALSE
TN 04,DesJarlais,R,219133,69.95,TRUE,TRUE,FALSE,Broderick,D,83832,26.76,FALSE,FALSE
TN 05,Ogles,R,205075,56.85,TRUE,TRUE,FALSE,Abolfazli,D,142387,39.47,FALSE,FALSE
TN 06,Rose,R,225543,68,TRUE,TRUE,FALSE,Bergman,D,106144,32,FALSE,FALSE
TN 07,Green,R,191992,59.5,TRUE,TRUE,FALSE,Barry,D,122764,38.05,FALSE,FALSE
TN 08,Kustoff,R,240411,72.34,TRUE,TRUE,FALSE,Freeman,D,85043,25.59,FALSE,FALSE
TN 09,Cohen,D,159522,71.31,TRUE,TRUE,FALSE,Bergmann,R,57411,25.66,FALSE,FALSE
TX 01,Moran,R,258523,100,TRUE,TRUE,FALSE,,,,,,
TX 02,Crenshaw,R,214631,65.66,TRUE,TRUE,FALSE,Filler,D,112252,34.34,FALSE,FALSE
TX 03,Self,R,237794,62.45,TRUE,TRUE,FALSE,Srivastava,D,142953,37.55,FALSE,FALSE
TX 04,Fallon,R,241603,68.38,TRUE,TRUE,FALSE,Cardell,D,111696,31.62,FALSE,FALSE
TX 05,Gooden,R,192185,64.08,TRUE,TRUE,FALSE,Torres,D,107712,35.92,FALSE,FALSE
TX 06,Ellzey,R,188119,65.68,TRUE,TRUE,FALSE,Love,D,98319,34.32,FALSE,FALSE
TX 07,Fletcher,D,149820,61.28,TRUE,TRUE,FALSE,Kane,R,94651,38.72,FALSE,FALSE
TX 08,Luttrell,R,233423,68.22,TRUE,TRUE,FALSE,Jones,D,108754,31.78,FALSE,FALSE
TX 09,Green,D,184141,100,TRUE,TRUE,FALSE,,,,,,
TX 10,McCaul,R,221229,63.6,TRUE,TRUE,FALSE,Boisseau,D,118280,34.01,FALSE,FALSE
TX 11,Pfluger,R,211975,100,TRUE,TRUE,FALSE,,,,,,
TX 12,Goldman,R,215564,63.45,TRUE,FALSE,FALSE,Hunt,D,124154,36.55,FALSE,FALSE
TX 13,Jackson,R,240622,100,TRUE,TRUE,FALSE,,,,,,
TX 14,Weber,R,210320,68.69,TRUE,TRUE,FALSE,Hart,D,95875,31.31,FALSE,FALSE
TX 15,De La Cruz,R,127804,57.11,TRUE,TRUE,FALSE,Vallejo,D,95965,42.89,FALSE,FALSE
TX 16,Escobar,D,131391,59.54,TRUE,TRUE,FALSE,Armendariz Jackson,R,89281,40.46,FALSE,FALSE
TX 17,Sessions,R,193101,66.35,TRUE,TRUE,FALSE,Lorenzen,D,97941,33.65,FALSE,FALSE
TX 18,Turner,D,151834,69.44,TRUE,FALSE,FALSE,Centonze,R,66810,30.56,FALSE,FALSE
TX 19,Arrington,R,214950,80.69,TRUE,TRUE,FALSE,Lewis,I,27461,10.31,FALSE,FALSE
TX 20,Castro,D,157890,100,TRUE,TRUE,FALSE,,,,,,
TX 21,Roy,R,263744,61.85,TRUE,TRUE,FALSE,Hook,D,153765,36.06,FALSE,FALSE
TX 22,Nehls,R,209285,62.12,TRUE,TRUE,FALSE,Greene-Scott,D,127604,37.88,FALSE,FALSE
TX 23,Gonzales,R,180720,62.3,TRUE,TRUE,FALSE,Limon,D,109373,37.7,FALSE,FALSE
TX 24,Van Duyne,R,227108,60.3,TRUE,TRUE,FALSE,Eppler,D,149518,39.7,FALSE,FALSE
TX 25,Williams,R,263042,100,TRUE,TRUE,FALSE,,,,,,
TX 26,Gill,R,241096,62.07,TRUE,FALSE,FALSE,Lineberger,D,138558,35.67,FALSE,FALSE
TX 27,Cloud,R,183980,66.04,TRUE,TRUE,FALSE,Lloyd,D,94596,33.96,FALSE,FALSE
TX 28,Cuellar,D,125490,52.81,TRUE,TRUE,FALSE,Furman,R,112117,47.19,FALSE,FALSE
TX 29,Garcia,D,99379,65.29,TRUE,TRUE,FALSE,Garza,R,52830,34.71,FALSE,FALSE
TX 30,Crockett,D,197650,84.89,TRUE,TRUE,FALSE,Jefferson,LB,35175,15.11,FALSE,FALSE
TX 31,Carter,R,229087,64.43,TRUE,TRUE,FALSE,Whitlow,D,126470,35.57,FALSE,FALSE
TX 32,Johnson,D,140536,60.45,TRUE,FALSE,FALSE,Day,R,85941,36.97,FALSE,FALSE
TX 33,Veasey,D,114289,68.79,TRUE,TRUE,FALSE,Gillespie,R,51864,31.21,FALSE,FALSE
TX 34,Gonzalez,D,102780,51.29,TRUE,TRUE,FALSE,Flores,R,97603,48.71,FALSE,FALSE
TX 35,Casar,D,170509,67.36,TRUE,TRUE,FALSE,Wright,R,82610,32.64,FALSE,FALSE
TX 36,Babin,R,206009,69.36,TRUE,TRUE,FALSE,Steele,D,91009,30.64,FALSE,FALSE
TX 37,Doggett,D,252980,74.22,TRUE,TRUE,FALSE,Garcia Sharon,R,80366,23.58,FALSE,FALSE
TX 38,Hunt,R,215030,62.75,TRUE,TRUE,FALSE,McDonough,D,127640,37.25,FALSE,FALSE
UT 01,Moore,R,230975,63.13,TRUE,TRUE,FALSE,Campbell,D,117319,32.06,FALSE,FALSE
UT 02,Maloy,R,205234,58,TRUE,TRUE,FALSE,Woodward,D,121114,34.23,FALSE,FALSE
UT 03,Kennedy,R,242496,66.39,TRUE,FALSE,FALSE,Wright,D,122780,33.61,FALSE,FALSE
UT 04,Owens,R,230627,63.42,TRUE,TRUE,FALSE,Fallick-Wang,D,109838,30.2,FALSE,FALSE
VA 01,Wittman,R,269657,56.4,TRUE,TRUE,FALSE,Mehta,D,208445,43.6,FALSE,FALSE
VA 02,Kiggans,R,207368,50.8,TRUE,TRUE,FALSE,Cotter Smasal,D,191666,46.95,FALSE,FALSE
VA 03,Scott,D,219926,70.1,TRUE,TRUE,FALSE,Sitka,R,93801,29.9,FALSE,FALSE
VA 04,McClellan,D,252885,67.49,TRUE,TRUE,FALSE,Moher,R,121814,32.51,FALSE,FALSE
VA 05,McGuire,R,249564,57.53,TRUE,FALSE,FALSE,Witt,D,184229,42.47,FALSE,FALSE
VA 06,Cline,R,256933,63.2,TRUE,TRUE,FALSE,Mitchell,D,141612,34.83,FALSE,FALSE
VA 07,Vindman,D,203336,51.32,TRUE,FALSE,FALSE,Anderson,R,192847,48.68,FALSE,FALSE
VA 08,Beyer,D,274593,71.72,TRUE,TRUE,FALSE,Torres,R,94676,24.73,FALSE,FALSE
VA 09,Griffith,R,290645,72.62,TRUE,TRUE,FALSE,Baker,D,109570,27.38,FALSE,FALSE
VA 10,Subramanyam,D,215131,52.28,TRUE,FALSE,FALSE,Clancy,R,196343,47.72,FALSE,FALSE
VA 11,Connolly,D,273529,66.99,TRUE,TRUE,FALSE,Van Meter,R,134802,33.01,FALSE,FALSE
VT 01,Balint,D,218398,62.46,TRUE,TRUE,FALSE,Coester,R,104451,29.87,FALSE,FALSE
WA 01,DelBene,D,227213,63.16,TRUE,TRUE,FALSE,Brewer,R,132538,36.84,FALSE,FALSE
WA 02,Larsen,D,263750,64.03,TRUE,TRUE,FALSE,Hart,R,148167,35.97,FALSE,FALSE
WA 03,Gluesenkamp Perez,D,215177,51.95,TRUE,TRUE,FALSE,Kent,R,199054,48.05,FALSE,FALSE
WA 04,Newhouse,R,153477,52.99,TRUE,TRUE,FALSE,Sessler,R,136175,47.01,FALSE,FALSE
WA 05,Baumgartner,R,240619,60.66,TRUE,FALSE,FALSE,Conroy,D,156074,39.34,FALSE,FALSE
WA 06,Randall,D,239687,56.82,TRUE,FALSE,FALSE,MacEwen,R,182182,43.18,FALSE,FALSE
WA 07,Jayapal,D,352286,84.18,TRUE,TRUE,FALSE,Alexander,R,66220,15.82,FALSE,FALSE
WA 08,Schrier,D,224607,54.09,TRUE,TRUE,FALSE,Goers,R,190675,45.91,FALSE,FALSE
WA 09,Smith,D,182780,66.86,TRUE,TRUE,FALSE,Chaudhry,D,90601,33.14,FALSE,FALSE
WA 10,Strickland,D,203732,58.67,TRUE,TRUE,FALSE,Hewett,R,143492,41.33,FALSE,FALSE
WI 01,Steil,R,212515,54.06,TRUE,TRUE,FALSE,Barca,D,172402,43.86,FALSE,FALSE
WI 02,Pocan,D,320317,70.14,TRUE,TRUE,FALSE,Olsen,R,136357,29.86,FALSE,FALSE
WI 03,Van Orden,R,212064,51.36,TRUE,TRUE,FALSE,Cooke,D,200808,48.64,FALSE,FALSE
WI 04,Moore,D,249938,74.91,TRUE,TRUE,FALSE,Rogers,R,74921,22.45,FALSE,FALSE
WI 05,Fitzgerald,R,300521,64.47,TRUE,TRUE,FALSE,Steinhoff,D,165653,35.53,FALSE,FALSE
WI 06,Grothman,R,251889,61.3,TRUE,TRUE,FALSE,Zarbano,D,159042,38.7,FALSE,FALSE
WI 07,Tiffany,R,273553,63.61,TRUE,TRUE,FALSE,Kilbourn,D,156524,36.39,FALSE,FALSE
WI 08,Wied,R,240040,57.33,TRUE,FALSE,FALSE,Lyerly,D,178666,42.67,FALSE,FALSE
WV 01,Miller,R,228491,66.39,TRUE,TRUE,FALSE,Reed,D,90038,26.16,FALSE,FALSE
WV 02,Moore,R,268190,70.77,TRUE,FALSE,FALSE,Wendelin,D,110775,29.23,FALSE,FALSE
WY 01,Hageman,R,184680,71.02,TRUE,TRUE,FALSE,Cameron,D,60778,23.37,FALSE,FALSE
