Fact,Fact Note,United States,,Alabama,,Alaska,Value Note for Alaska,Arizona,,Arkansas,,California,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Washington,,West Virginia,,Wisconsin,,Wyoming
"With a disability, under age 65 years, percent, 2019-2023",,9.10%,,11.60%,,9.60%,,9.30%,,13.10%,,7.30%,8.10%,,10.70%,,8.40%,,7.70%,,10.70%,,8.50%,10.20%,,12.30%,,10.80%,,10.20%,,9.80%,,10.10%,9.40%,,6.90%,,11.80%,,8.10%,,9.30%,,8.20%,8.00%,,12.60%,,10.50%,,9.90%,,8.40%,,9.30%,13.40%,,11.80%,,11.40%,,7.90%,,8.30%,,10.30%,,7.40%,,9.80%,,8.00%,,10.10%,,8.70%,,9.70%,,7.90%,,8.40%,,9.90%,,7.90%,,8.80%,,9.30%,,9.30%,,13.80%,,8.50%,,9.40%
"Persons without health insurance, under age 65 years, percent",,9.50%,,10.30%,,11.90%,,12.10%,,10.70%,,7.40%,10.00%,,11.10%,,18.70%,,9.00%,,4.30%,,7.60%,7.40%,,13.50%,,6.70%,,6.60%,,5.40%,,11.10%,5.90%,,8.50%,,11.10%,,5.80%,,11.00%,,5.30%,5.00%,,12.40%,,9.10%,,10.50%,,7.20%,,12.80%,6.50%,,8.20%,,7.50%,,7.40%,,3.00%,,5.50%,,4.00%,,10.60%,,7.30%,,8.20%,,6.00%,,9.90%,,7.90%,,6.90%,,8.00%,,3.00%,,13.40%,,13.30%,,7.40%,,7.50%,,5.90%,,13.10%
"In civilian labor force, total, percent of population age 16 years+, 2019-2023",,63.00%,,57.80%,,62.50%,,60.10%,,58.10%,,63.30%,67.00%,,61.70%,,64.70%,,69.40%,,64.50%,,63.70%,63.10%,,60.50%,,62.20%,,62.70%,,64.60%,,59.60%,66.20%,,66.20%,,56.90%,,62.80%,,61.40%,,67.80%,68.40%,,56.60%,,62.70%,,62.40%,,68.40%,,62.60%,59.20%,,58.80%,,61.90%,,66.50%,,67.10%,,61.30%,,59.80%,,62.70%,,64.90%,,63.90%,,66.40%,,65.40%,,67.70%,,65.80%,,61.80%,,71.40%,,59.20%,,63.00%,,63.60%,,53.50%,,65.40%,,64.30%
"In civilian labor force, female, percent of population age 16 years+, 2019-2023",,58.70%,,53.30%,,61.30%,,55.60%,,54.00%,,58.10%,63.70%,,57.30%,,58.90%,,62.40%,,62.20%,,60.20%,59.20%,,56.00%,,58.30%,,58.60%,,60.90%,,55.80%,62.30%,,61.40%,,53.30%,,59.00%,,57.60%,,64.20%,64.90%,,53.70%,,59.10%,,59.10%,,64.20%,,58.00%,55.40%,,55.30%,,58.80%,,62.80%,,63.60%,,57.30%,,58.70%,,57.20%,,60.60%,,59.20%,,62.40%,,61.40%,,63.50%,,61.80%,,58.50%,,69.70%,,55.00%,,59.00%,,58.90%,,49.90%,,62.00%,,59.70%
"Total accommodation and food services sales, 2022 ($1,000)",(c),"1,196,315,575",,"13,650,008",,"3,197,824",,"27,613,720",,"7,413,835",,"169,438,170","2,992,306",,"24,026,772",,"101,333,127",,"10,093,510",,"2,585,645",,"27,454,254","31,409,389",,"12,056,914",,"14,476,964",,"34,888,736",,"4,436,525",,"17,879,711","5,032,074",,"31,189,464",,"7,086,476",,"78,162,473",,"33,830,655",,"2,237,637","16,896,884",,"10,240,535",,"18,523,356",,"4,321,331",,"5,191,548",,"42,114,174","11,656,465",,"16,736,934",,"5,173,608",,"20,916,724",,"28,679,963",,"28,012,061",,"12,833,627",,"5,223,656",,"41,754,998",,"18,917,654",,"8,918,895",,"7,618,424",,"26,052,155",,"12,385,868",,"3,350,255",,"7,075,654",,"94,559,362",,"36,524,926",,"26,364,447",,"4,723,330",,"16,626,749",,"2,435,803"
"Total health care and social assistance receipts/revenue, 2022 ($1,000)",(c),"3,330,304,719",,"38,895,946",,"10,552,218",,"66,572,509",,"27,283,841",,"420,638,311","10,687,294",,"67,569,204",,"253,192,012",,"26,852,434",,"6,842,309",,"76,107,236","121,139,931",,"33,941,986",,"42,776,129",,"154,216,328",,"11,494,135",,"38,362,166","15,658,963",,"96,064,339",,"17,390,006",,"252,439,924",,"96,614,431",,"9,513,680","63,326,593",,"22,217,522",,"59,680,054",,"11,075,124",,"20,853,904",,"25,373,441","43,231,092",,"44,396,044",,"15,847,310",,"64,555,492",,"98,329,081",,"94,603,501",,"12,117,875",,"15,920,372",,"125,256,366",,"66,586,781",,"28,721,347",,"26,870,804",,"52,722,035",,"45,537,226",,"11,972,722",,"14,349,578",,"211,744,080",,"95,053,842",,"75,395,248",,"18,934,220",,"65,814,972",,"5,012,761"
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)",(c),"1,316,303,546",,"13,872,047",,"6,944,069",,"21,696,444",,"14,045,662",,"171,389,035","2,505,126",,"33,091,113",,"141,813,905",,"15,844,454",,"989,473",,"28,159,556","45,388,800",,"19,582,315",,"13,119,177",,"42,748,848",,"1,887,495",,"11,374,736","2,445,600",,"44,934,981",,"3,660,003",,"69,447,564",,"28,645,522",,"5,084,632","25,461,406",,"8,169,836",,"22,731,448",,"3,002,242",,"10,693,835",,"10,758,632","18,580,730",,"20,463,993",,"2,756,874",,"12,983,437",,"18,712,723",,"35,592,313",,"7,875,883",,"4,802,084",,"73,661,560",,"27,233,207",,"14,691,935",,"11,388,882",,"24,917,676",,"7,998,394",,"2,042,199",,"2,470,280",,"98,048,310",,"55,684,552",,"30,246,405",,"3,692,949",,"20,718,535",,"2,252,669"
"Total retail sales, 2022 ($1,000)",(c),"6,974,691,329",,"94,272,444",,"13,651,314",,"157,466,082",,"61,595,202",,"809,607,418","20,998,722",,"149,013,235",,"608,178,719",,"79,042,386",,"14,107,103",,"159,207,647","246,331,444",,"76,095,664",,"107,313,788",,"301,886,383",,"18,495,146",,"102,257,745","41,255,081",,"208,629,891",,"36,921,203",,"392,993,705",,"209,284,704",,"19,111,926","134,656,010",,"50,096,440",,"129,387,984",,"24,144,772",,"43,318,520",,"70,103,046","88,306,628",,"88,782,523",,"34,415,647",,"115,211,858",,"153,190,723",,"190,534,346",,"30,735,956",,"40,607,614",,"244,721,614",,"155,578,217",,"67,256,410",,"51,495,728",,"120,881,315",,"72,459,098",,"24,220,761",,"7,707,785",,"484,218,148",,"216,836,912",,"242,905,745",,"30,058,548",,"121,958,764",,"13,183,265"
"Total retail sales per capita, 2022",(c),"$20,928 ",,"$18,580 ",,"$18,617 ",,"$21,378 ",,"$20,219 ",,"$20,738 ","$23,079 ",,"$21,140 ",,"$20,252 ",,"$23,377 ",,"$21,800 ",,"$18,344 ","$20,947 ",,"$18,933 ",,"$25,314 ",,"$23,272 ",,"$16,908 ",,"$19,356 ","$29,489 ",,"$22,528 ",,"$17,469 ",,"$19,976 ",,"$19,567 ",,"$24,537 ","$23,565 ",,"$17,046 ",,"$20,946 ",,"$21,503 ",,"$22,011 ",,"$22,063 ","$19,573 ",,"$19,351 ",,"$24,771 ",,"$18,691 ",,"$21,938 ",,"$18,990 ",,"$21,353 ",,"$20,943 ",,"$19,449 ",,"$22,771 ",,"$21,020 ",,"$17,535 ",,"$20,695 ",,"$20,079 ",,"$23,758 ",,"$11,488 ",,"$21,767 ",,"$19,869 ",,"$31,204 ",,"$16,944 ",,"$20,704 ",,"$22,666 "
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023",,26.6,,25.4,,19.5,,25.5,,22.3,,29,17.6,,25.7,,26.7,,22,,23.4,,27.6,23.6,,22.4,,23.2,,26.6,,25.5,,25.6,26.8,,30.9,,23.2,,32.8,,25.1,,18,23.1,,25.6,,23.7,,19.2,,19.1,,24.8,24,,25.8,,24.4,,31.5,,29.3,,24.4,,26.4,,21.6,,28.1,,24,,19.8,,19.8,,25.5,,26.6,,26.1,,30.3,,28,,28.3,,27,,26.6,,22.2,,18.5
"Median households income (in 2023 dollars), 2019-2023",,"$78,538 ",,"$62,027 ",,"$89,336 ",,"$76,872 ",,"$58,773 ",,"$96,334 ","$72,421 ",,"$67,097 ",,"$76,292 ",,"$91,750 ",,"$78,024 ",,"$90,974 ","$69,680 ",,"$63,603 ",,"$80,426 ",,"$76,081 ",,"$86,372 ",,"$66,818 ","$95,628 ",,"$101,050 ",,"$62,125 ",,"$84,578 ",,"$69,904 ",,"$75,949 ","$87,556 ",,"$54,915 ",,"$68,920 ",,"$69,922 ",,"$74,985 ",,"$75,561 ","$62,417 ",,"$60,023 ",,"$71,773 ",,"$101,652 ",,"$101,341 ",,"$71,149 ",,"$98,317 ",,"$74,636 ",,"$81,702 ",,"$70,051 ",,"$73,147 ",,"$72,639 ",,"$92,470 ",,"$93,760 ",,"$82,855 ",,"$106,287 ",,"$71,711 ",,"$74,664 ",,"$94,952 ",,"$57,917 ",,"$75,670 ",,"$74,815 "
"Per capita income in past 12 months (in 2023 dollars), 2019-2023",,"$43,289 ",,"$34,835 ",,"$44,928 ",,"$40,736 ",,"$33,147 ",,"$47,977 ","$38,880 ",,"$37,866 ",,"$39,446 ",,"$39,240 ",,"$44,365 ",,"$49,217 ","$39,455 ",,"$34,859 ",,"$44,063 ",,"$43,104 ",,"$45,919 ",,"$37,993 ","$50,867 ",,"$53,118 ",,"$34,823 ",,"$49,520 ",,"$39,616 ",,"$42,474 ","$46,957 ",,"$30,529 ",,"$38,497 ",,"$39,842 ",,"$40,637 ",,"$39,963 ","$34,960 ",,"$34,211 ",,"$42,035 ",,"$51,689 ",,"$56,284 ",,"$39,538 ",,"$44,823 ",,"$37,169 ",,"$45,104 ",,"$37,178 ",,"$39,728 ",,"$39,638 ",,"$50,489 ",,"$54,409 ",,"$44,219 ",,"$75,253 ",,"$41,055 ",,"$39,525 ",,"$51,493 ",,"$32,949 ",,"$42,019 ",,"$41,006 "
"Persons in poverty, percent",,11.10%,,15.60%,,10.40%,,12.40%,,15.70%,,12.00%,11.80%,,14.00%,,13.70%,,9.00%,,9.70%,,10.20%,13.30%,,15.90%,,12.20%,,12.00%,,10.80%,,13.90%,7.20%,,9.70%,,17.80%,,14.20%,,12.80%,,9.80%,9.30%,,18.00%,,12.00%,,11.70%,,10.50%,,12.00%,16.40%,,18.90%,,10.40%,,9.50%,,10.40%,,13.50%,,10.10%,,10.10%,,11.60%,,12.30%,,11.30%,,11.20%,,9.30%,,10.30%,,10.50%,,14.00%,,12.30%,,13.60%,,10.30%,,16.70%,,10.70%,,11.30%
"Total employer establishments, 2022",,"8,298,562",,"105,071",,"22,082",,"159,857",,"69,634",,"1,023,181","28,857",,"147,924",,"657,362",,"93,706",,"20,868",,"209,244","254,594",,"95,748",,"122,397",,"307,685",,"29,490",,"120,769","39,348",,"237,499",,"44,850",,"540,271",,"254,636",,"25,098","154,314",,"60,469",,"153,767",,"42,015",,"56,319",,"76,393","93,549",,"108,161",,"43,185",,"142,481",,"182,919",,"227,870",,"32,863",,"57,209",,"322,349",,"153,748",,"83,560",,"75,991",,"181,963",,"89,293",,"29,195",,"23,874",,"633,353",,"258,377",,"202,005",,"35,530",,"144,443",,"23,196"
"Total employment, 2022",,"135,748,407",,"1,777,657",,"257,462",,"2,787,701",,"1,089,044",,"16,032,440","373,863",,"2,846,881",,"11,507,642",,"1,521,640",,"254,471",,"3,494,956","4,963,808",,"1,390,468",,"1,666,806",,"5,584,830",,"439,021",,"2,013,315","615,249",,"3,813,702",,"639,118",,"8,429,776",,"4,106,761",,"342,345","2,732,522",,"944,580",,"2,564,383",,"398,871",,"890,050",,"1,286,578","1,667,694",,"1,644,036",,"533,151",,"2,436,501",,"3,396,919",,"3,939,076",,"507,390",,"689,589",,"5,533,883",,"2,875,908",,"1,386,299",,"1,225,232",,"2,481,196",,"1,508,634",,"424,303",,"527,355",,"9,628,867",,"4,249,362",,"2,978,277",,"540,468",,"2,600,303",,"208,024"
"Total annual payroll, 2022 ($1,000)",,"8,965,035,263",,"94,186,727",,"17,816,330",,"162,647,099",,"56,607,098",,"1,361,755,461","19,670,042",,"161,157,703",,"737,188,384",,"89,418,575",,"13,729,536",,"234,462,103","285,334,397",,"73,540,249",,"104,057,684",,"341,442,697",,"25,938,110",,"102,955,987","39,157,825",,"275,696,056",,"31,979,149",,"716,345,662",,"240,894,189",,"20,355,440","177,625,553",,"43,003,532",,"149,534,361",,"20,101,686",,"50,451,717",,"71,231,852","86,111,636",,"90,475,354",,"29,597,269",,"159,490,571",,"287,176,143",,"232,710,964",,"28,145,945",,"36,567,889",,"383,875,437",,"158,017,872",,"74,805,280",,"67,832,396",,"169,057,790",,"112,497,475",,"28,639,674",,"52,216,924",,"556,430,324",,"260,014,888",,"241,782,080",,"26,501,437",,"153,219,064",,"11,583,647"
"Total employment, percent change, 2021-2022",,5.80%,,3.40%,,2.50%,,7.20%,,5.80%,,8.10%,2.70%,,5.30%,,6.60%,,6.10%,,6.10%,,4.60%,2.90%,,3.30%,,5.80%,,5.80%,,6.40%,,4.00%,4.80%,,6.80%,,5.50%,,6.90%,,5.20%,,2.90%,4.00%,,1.50%,,3.50%,,4.90%,,4.50%,,11.10%,3.10%,,3.20%,,5.60%,,6.70%,,7.00%,,4.50%,,8.10%,,6.90%,,5.00%,,4.40%,,2.50%,,3.10%,,2.70%,,4.60%,,3.80%,,9.10%,,8.50%,,5.30%,,5.60%,,4.10%,,3.20%,,4.60%
"Total nonemployer establishments, 2022",,"29,811,495",,"390,228",,"60,471",,"585,251",,"241,619",,"3,502,950","74,028",,"637,340",,"3,023,525",,"294,809",,"64,930",,"722,562","898,451",,"323,064",,"320,778",,"938,764",,"92,358",,"440,037","114,903",,"856,771",,"138,557",,"1,923,517",,"914,586",,"59,106","442,345",,"251,172",,"475,437",,"105,934",,"150,120",,"294,529","328,057",,"430,224",,"125,923",,"586,327",,"612,132",,"809,426",,"119,647",,"160,914",,"1,100,655",,"480,921",,"228,133",,"217,018",,"583,986",,"312,711",,"88,530",,"65,130",,"2,968,201",,"1,175,541",,"533,681",,"93,669",,"389,776",,"62,751"
"All employer firms, Reference year 2022",,"5,876,787",,"69,656",,"16,422",,"116,651",,"47,861",,"781,306","21,587",,"95,453",,"459,814",,"74,451",,"16,301",,"146,633","170,212",,"68,131",,"91,261",,"214,407",,"23,144",,"84,727","29,560",,"185,417",,"31,989",,"427,083",,"178,429",,"18,251","110,242",,"40,180",,"104,804",,"33,035",,"41,185",,"57,635","61,481",,"76,821",,"32,898",,"104,151",,"136,712",,"163,220",,"23,069",,"44,406",,"239,318",,"103,303",,"57,877",,"52,920",,"140,676",,"65,594",,"22,226",,"15,253",,"487,617",,"187,538",,"152,437",,"22,550",,"101,816",,"18,249"
"Men-owned employer firms, Reference year 2022",,"3,633,787",,"43,637",,"8,610",,"64,372",,"26,885",,"469,788","12,409",,"59,619",,"278,501",,"45,960",,"8,892",,"87,156","109,119",,"40,423",,"50,710",,"138,704",,"14,956",,"53,664","18,196",,"121,731",,"17,512",,"284,026",,"107,443",,"10,777","67,395",,"24,442",,"60,205",,"17,574",,"23,363",,"34,390","37,305",,"45,597",,"19,497",,"63,745",,"88,954",,"106,444",,"12,465",,"24,157",,"153,281",,"63,919",,"34,165",,"30,135",,"81,281",,"42,710",,"13,715",,"7,730",,"295,466",,"117,497",,"81,954",,"13,504",,"60,996",,"9,864"
"Women-owned employer firms, Reference year 2022",,"1,309,282",,"14,122",,"3,952",,"25,786",,"9,495",,"183,842","3,519",,"18,201",,"104,149",,"13,429",,"2,951",,"36,625","34,213",,"13,472",,"20,211",,"42,550",,"4,231",,"18,824","5,119",,"38,988",,"7,081",,"92,967",,"39,917",,"3,270","22,395",,"8,015",,"22,668",,"6,836",,"7,494",,"12,507","12,412",,"15,396",,"6,522",,"24,360",,"27,549",,"31,497",,"5,455",,"8,111",,"52,121",,"20,251",,"10,688",,"10,492",,"34,796",,"12,321",,"4,385",,"3,547",,"115,979",,"44,187",,"35,273",,"4,185",,"19,047",,"3,451"
"Minority-owned employer firms, Reference year 2022",,"1,326,462",,"10,197",,"2,225",,"22,370",,"5,407",,"291,607",916,,"13,251",,"153,534",,"7,966",,614,,"38,241","18,173",,"11,809",,"14,149",,"28,975",,"2,793",,"12,343","2,133",,"50,317",,"9,485",,"104,131",,"30,114",,914,"10,334",,"5,771",,"11,801",,"1,443",,"3,032",,"14,883","6,179",,"11,136",,"1,291",,"30,011",,"19,942",,"16,643",,"12,730",,"3,944",,"48,274",,"11,766",,"3,317",,"6,017",,"20,019",,"11,324",,"4,525",,"4,532",,"146,054",,"52,089",,"31,980",,"1,266",,"8,814",,"1,409"
"Nonminority-owned employer firms, Reference year 2022",,"4,230,881",,"54,274",,"12,275",,"84,545",,"38,293",,"441,805","18,441",,"74,359",,"277,048",,"61,295",,"13,537",,"98,421","139,938",,"49,932",,"69,577",,"170,420",,"18,374",,"66,777","24,533",,"124,286",,"18,502",,"299,225",,"137,277",,"15,303","91,455",,"30,860",,"85,131",,"28,707",,"34,445",,"37,557","50,421",,"59,849",,"28,647",,"66,549",,"106,917",,"136,115",,"7,449",,"36,871",,"176,697",,"84,049",,"49,362",,"41,643",,"110,261",,"48,443",,"15,291",,"7,418",,"316,983",,"124,488",,"108,412",,"18,793",,"84,731",,"14,983"
"Veteran-owned employer firms, Reference year 2022",,"273,542",,"4,212",,"1,141",,"5,876",,"2,784",,"27,220","1,389",,"4,788",,"23,458",,"2,671",,836,,"10,734","8,614",,"4,091",,"4,505",,"9,012",,969,,"6,059","1,579",,"6,127",,"1,782",,"12,167",,"10,797",,855,"5,600",,"2,395",,"5,230",,"1,812",,"2,224",,"2,829","2,837",,"4,031",,"1,734",,"5,747",,"4,694",,"5,465",,977,,"1,993",,"8,211",,"5,338",,"2,887",,"2,412",,"7,631",,"2,641",,958,,530,,"23,793",,"10,394",,"7,153",,"1,206",,"4,841",,"1,122"
"Nonveteran-owned employer firms, Reference year 2022",,"5,275,279",,"59,366",,"13,355",,"101,623",,"40,031",,"715,683","17,564",,"81,816",,"408,634",,"66,830",,"13,168",,"124,877","147,848",,"58,024",,"79,078",,"188,660",,"19,986",,"71,992","24,678",,"169,340",,"26,552",,"392,504",,"154,299",,"15,078","95,321",,"33,826",,"90,030",,"27,825",,"34,800",,"50,124","52,920",,"66,252",,"27,711",,"90,504",,"121,659",,"146,553",,"19,607",,"38,362",,"216,103",,"89,752",,"49,071",,"44,836",,"123,091",,"56,929",,"18,720",,"11,536",,"440,163",,"165,015",,"133,394",,"18,470",,"87,345",,"15,112"
"Population per square mile, 2020",,93.8,,99.2,,1.3,,62.9,,57.9,,253.7,11.7,,167.6,,111.6,,39.7,,69.8,,218.6,288.8,,57.7,,44.1,,290.6,,"1,061.40",,170.3,153.9,,"1,263.00",,17.5,,428.7,,214.7,,11.3,71.7,,63.1,,89.5,,7.4,,25.5,,28.3,114.1,,107.8,,44.2,,636.1,,901.2,,178,,226.6,,22.3,,230.8,,189.4,,57.1,,35.9,,55.7,,744.7,,508,,"11,280.70",,401.4,,185.6,,115.9,,74.6,,108.8,,5.9
"Population per square mile, 2010",,87.4,,94.4,,1.2,,56.3,,56,,239.1,10.7,,153.9,,96.3,,33.6,,67.9,,202.6,282.3,,54.7,,39.9,,283.9,,"1,018.10",,153.9,147,,"1,195.50",,17,,411.2,,196.1,,9.7,66.6,,63.2,,87.1,,6.8,,23.8,,24.6,109.9,,104.9,,43.1,,594.8,,839.4,,174.8,,211.8,,19,,231.1,,181,,54.5,,34.9,,48.5,,738.1,,460.8,,"9,856.50",,350.6,,168.4,,101.2,,77.1,,105,,5.8
"Land area in square miles, 2020",,"3,533,038.28",,"50,647.13",,"571,022.38",,"113,653.42",,"51,992.85",,"155,858.33","75,809.61",,"41,232.49",,"261,267.85",,"82,376.85",,"9,217.45",,"39,482.11","40,858.76",,"68,596.53",,"95,995.98",,"44,742.27",,"1,033.89",,"30,064.28","8,953.75",,"7,354.76",,"121,312.75",,"47,123.59",,"48,623.02",,"68,995.86","79,626.68",,"46,923.96",,"68,746.48",,"145,550.36",,"76,817.87",,"109,860.46","39,491.61",,"43,210.23",,"30,845.10",,"9,711.20",,"7,800.96",,"56,608.22",,"6,422.48",,"82,645.14",,"55,513.18",,"35,826.03",,"55,853.42",,"81,758.59",,"103,637.06",,"4,842.37",,"1,948.55",,61.13,,"53,652.17",,"57,716.96",,"66,455.12",,"24,041.15",,"54,167.14",,"97,088.76"
"Land area in square miles, 2010",,"3,531,905.43",,"50,645.33",,"570,640.95",,"113,594.08",,"52,035.48",,"155,779.22","75,811.00",,"41,234.90",,"261,231.71",,"82,169.62",,"9,216.66",,"39,490.09","40,860.69",,"68,594.92",,"95,988.01",,"44,742.70",,"1,033.81",,"30,060.70","8,952.65",,"7,354.22",,"121,298.15",,"47,126.40",,"48,617.91",,"69,000.80","79,626.74",,"46,923.27",,"68,741.52",,"145,545.80",,"76,824.17",,"109,781.18","39,486.34",,"43,203.90",,"30,842.92",,"9,707.24",,"7,800.06",,"56,538.90",,"6,422.63",,"82,643.12",,"55,518.93",,"35,826.11",,"55,857.13",,"81,758.72",,"103,641.89",,"4,842.36",,"1,948.54",,61.05,,"53,624.76",,"57,513.49",,"66,455.52",,"24,038.21",,"54,157.80",,"97,093.14"
FIPS Code,,"""1""",,"""01""",,"""02""",,"""04""",,"""05""",,"""06""","""46""",,"""47""",,"""48""",,"""49""",,"""50""",,"""51""","""39""",,"""40""",,"""41""",,"""42""",,"""44""",,"""45""","""33""",,"""34""",,"""35""",,"""36""",,"""37""",,"""38""","""27""",,"""28""",,"""29""",,"""30""",,"""31""",,"""32""","""21""",,"""22""",,"""23""",,"""24""",,"""25""",,"""26""",,"""15""",,"""16""",,"""17""",,"""18""",,"""19""",,"""20""",,"""08""",,"""09""",,"""10""",,"""11""",,"""12""",,"""13""",,"""53""",,"""54""",,"""55""",,"""56"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
